Nombre de sistema,Última comunicación,Versión de producto (Agent),Versión de producto (VirusScan Enterprise),Versión de DAT (VirusScan Enterprise),Tipo de SO,Versión de producto (Endpoint Security Threat Prevention),Versión de AMCore Content,Estado habilitado de OAS
D11-53131006,14/11/18 15:37:00 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
D2UA5031KJG,31/10/18 23:16:35 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3513.0,
D2UA5031KJM,14/11/18 15:42:13 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
D2UA7432T90,14/11/18 15:32:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
D2UA7432T94,14/11/18 15:30:39 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
D2UA7432T95,14/11/18 15:11:20 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
D5CG5152H5Q,14/11/18 15:30:51 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMJ007UTQ,11/11/18 18:06:13 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3524.0,
DMJ007UTS,11/10/18 22:30:02 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3493.0,
DMJ007UU4,14/11/18 15:09:29 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ007UUB,14/11/18 15:03:33 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3525.0,
DMJ01FLUL,1/11/18 23:34:10 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3514.0,
DMJ01LCD5,14/11/18 15:23:52 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ01LCDC,24/10/18 4:00:31 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3506.0,
DMJ01LCDJ,14/11/18 15:10:33 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ01LCDL,14/11/18 15:50:54 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ01LCDR,14/11/18 15:54:24 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ01LCDU,6/10/18 17:38:51 CEST,5.0.6.220,,,Windows 7,,,
DMJ035ZM8,14/11/18 15:29:58 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
DMJ41V8H,14/11/18 15:20:35 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMJ41V9G,12/11/18 17:39:55 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3525.0,
DMJ41V9H,14/11/18 15:16:54 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ41V9K,1/11/18 16:34:33 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3487.0,
DMJ41V9L,1/11/18 22:37:47 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3499.0,
DMJ41V9M,14/11/18 13:23:20 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMJ41V9R,1/11/18 16:54:57 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3493.0,
DMJ41V9T,14/11/18 15:39:07 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ41V9X,1/11/18 22:11:02 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3514.0,
DMJ41W0C,14/11/18 15:43:12 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ41W0F,13/11/18 18:41:26 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3525.0,
DMJ45B5C,14/11/18 13:58:45 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ45B5D,14/11/18 15:27:29 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMJ45B5F,1/11/18 16:20:00 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
DMJ45B5H,2/11/18 0:46:53 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3488.0,
DMJ45B5K,1/11/18 23:21:09 CET,5.0.6.220,,,Windows 7,10.5.2.2108,0.5,
DMJ45B5M,13/11/18 22:00:01 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3526.0,
DMJ45B6H,1/11/18 22:21:03 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3488.0,
DMJ45B6K,1/11/18 23:00:47 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
DMJ45B6T,14/11/18 15:04:44 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ45B6V,11/11/18 18:02:56 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3524.0,
DMJ45B6W,14/11/18 15:22:37 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ45B6Y,1/11/18 21:34:42 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
DMJ45B7A,6/10/18 0:29:02 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3487.0,
DMJ45B7B,14/11/18 15:55:52 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
DMJ45B7C,1/11/18 21:50:12 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3486.0,
DMJ45B7D,14/11/18 15:19:49 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ45B7F,14/11/18 15:33:25 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3527.0,
DMJ45B7H,14/11/18 15:32:12 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMJ45B7R,2/11/18 15:01:05 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3515.0,
DMJ45B8H,1/11/18 23:34:57 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3514.0,
DMJ45B8T,14/11/18 15:17:56 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL12824S3,13/11/18 23:58:01 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3526.0,
DMXL15127G0,14/11/18 15:37:00 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMXL1520S1F,27/09/18 23:02:30 CEST,5.0.6.220,,,Windows 7,10.5.2.2108,3479.0,
DMXL174312ZK,14/11/18 15:07:42 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL2181210,14/11/18 0:05:17 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMXL21916SP,14/11/18 15:13:34 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL2191BJV,15/09/18 3:33:05 CEST,5.0.6.220,,,Windows 7,10.5.3.3264,3467.0,
DMXL2431RNW,22/10/18 17:13:53 CEST,5.0.6.220,,,Windows 10,10.5.2.2108,3504.0,
DMXL5030XCF,14/11/18 15:17:50 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL5040DLS,2/11/18 0:06:24 CET,5.0.6.220,,,Windows 7,10.5.2.2108,3509.0,
DMXL5180W69,14/11/18 1:17:59 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3526.0,
DMXL5190HZC,5/11/18 16:17:35 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3512.0,
DMXL5190HZD,14/11/18 15:57:24 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL5190HZP,14/11/18 0:58:43 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3526.0,
DMXL5192N0C,14/11/18 4:44:04 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3527.0,
DMXL5192N0T,13/11/18 10:05:04 CET,5.0.6.220,,,Windows 7,10.5.3.3264,3525.0,
DMXL5292LHH,14/11/18 15:46:33 CET,5.0.6.220,,,Windows 10,10.5.3.3264,3527.0,
DMXL60725VD,14/11/18 15:47:08 CET,5.0.6.220,,,Windows 10,10.5.2.2108,3527.0,
